uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
WMV589,BAS,20,0,2,1008164,TS,0.000,0,0.0,0.0,27.4,0.0,KEYHOLE,44.484500,-69.655583,52.4,8000,2733,,WMV589,1008164,44.499500,-69.628361,ULS
WQKE305,BAS,40,0,2,3095145,TS,0.000,0,0.0,0.0,30.0,0.0,KEYHOLE,45.765833,-108.457500,-84.4,8000,10950,,WQKE305,3095145,45.775444,-108.597611,ULS
WQQB533,BAS,23,0,2,3416345,TI,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,43.652222,-108.251389,139.2,8000,31465,,WQQB533,3416345,43.437583,-107.997389,ULS
WQIP893,BAS,18,0,2,3002534,TI,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,43.489167,-109.689167,121.9,8000,73973,,WQIP893,3002534,43.134972,-108.917056,ULS
WQLF562,BAS,47,0,2,3158373,TI,0.000,0,0.0,0.0,4.0,0.0,KEYHOLE,43.597139,-110.870778,-71.6,8000,40671,,WQLF562,3158373,43.711583,-111.349667,ULS
WQLN461,BAS,47,0,2,3177145,TI,0.000,0,0.0,0.0,4.0,0.0,KEYHOLE,43.597139,-110.870778,-71.6,8000,40671,,WQLN461,3177145,43.711583,-111.349667,ULS
WQJF584,BAS,47,0,2,3037778,TI,0.000,0,0.0,0.0,8.0,0.0,KEYHOLE,43.594444,-110.870000,136.0,8000,75103,,WQJF584,3037778,43.106111,-110.229444,ULS
WQLF563,BAS,47,0,2,3158374,TI,0.000,0,0.0,0.0,4.0,0.0,KEYHOLE,43.788250,-110.934667,-104.2,8000,34493,,WQLF563,3158374,43.711583,-111.349667,ULS
WQLN462,BAS,47,0,2,3177146,TI,0.000,0,0.0,0.0,4.0,0.0,KEYHOLE,43.788250,-110.934667,-104.2,8000,34493,,WQLN462,3177146,43.711583,-111.349667,ULS
WQQC770,BAS,20,0,2,3419727,TT,0.000,0,0.0,0.0,4.0,0.0,KEYHOLE,44.677056,-113.357806,-39.0,8000,28094,,WQQC770,3419727,44.873167,-113.581778,ULS
WQQC771,BAS,26,0,2,3419728,TT,0.000,0,0.0,0.0,4.6,0.0,KEYHOLE,44.706694,-113.314917,-134.1,8000,4734,,WQQC771,3419728,44.677056,-113.357806,ULS
WPNJ976,BAS,26,0,2,1044691,TT,0.000,0,0.0,0.0,6.1,0.0,KEYHOLE,45.145750,-114.009222,115.8,8000,68502,,WPNJ976,1044691,44.874917,-113.228639,ULS
WQOY558,BAS,18,0,2,3357381,TT,0.000,0,0.0,0.0,3.1,0.0,KEYHOLE,45.145750,-114.059250,122.8,8000,45126,,WQOY558,3357381,44.924917,-113.578667,ULS
WQJW285,BAS,45,0,2,3072546,TT,0.000,0,0.0,0.0,13.7,0.0,KEYHOLE,47.542389,-115.312278,21.7,8000,6396,,WQJW285,3072546,47.595833,-115.280833,ULS
WQJW294,BAS,48,0,2,3072555,TT,0.000,0,0.0,0.0,13.7,0.0,KEYHOLE,47.542389,-115.312278,21.7,8000,6396,,WQJW294,3072555,47.595833,-115.280833,ULS
WQJW296,BAS,50,0,2,3072561,TT,0.000,0,0.0,0.0,13.7,0.0,KEYHOLE,47.542389,-115.312278,21.7,8000,6396,,WQJW296,3072561,47.595833,-115.280833,ULS
WLP881,BAS,19,0,2,997052,TS,0.000,0,0.0,0.0,6.0,0.0,KEYHOLE,47.540944,-115.318167,-2.6,8000,6007,,WLP881,997052,47.594917,-115.321806,ULS
WPSH255,BAS,50,0,2,1961935,TS,0.000,0,0.0,0.0,3.5,0.0,KEYHOLE,47.951389,-115.656111,-62.2,8000,10158,,WPSH255,1961935,47.993944,-115.776500,ULS
WQSK597,BAS,36,0,2,3523156,TS,0.000,0,0.0,0.0,9.1,0.0,KEYHOLE,47.677778,-114.142444,-53.3,8000,2262,,WQSK597,3523156,47.689944,-114.166583,ULS
WQLA239,BAS,48,0,2,3145486,TS,0.000,0,0.0,0.0,52.0,0.0,KEYHOLE,36.203861,-115.954583,-26.8,8000,12850,,WQLA239,3145486,36.307167,-116.019194,ULS
WQPW215,BAS,39,0,2,3405478,TS,0.000,0,0.0,0.0,50.0,0.0,KEYHOLE,36.158194,-115.901056,120.3,8000,41728,,WQPW215,3405478,35.967750,-115.501667,ULS
WQAR944,BAS,51,0,2,2640421,TT,0.000,0,0.0,0.0,6.1,0.0,KEYHOLE,37.639111,-113.032139,12.6,8000,23048,,WQAR944,2640421,37.841722,-112.974833,ULS
WPYN246,BAS,36,0,2,2547697,TI,0.000,0,0.0,0.0,10.0,0.0,KEYHOLE,35.142222,-114.621389,117.2,8000,25739,,WPYN246,2547697,35.035833,-114.370556,ULS
WMV452,BAS,34,0,2,1008028,TS,0.000,0,0.0,0.0,43.9,0.0,KEYHOLE,35.481250,-79.180278,120.0,8000,3262,,WMV452,1008028,35.466528,-79.149167,ULS
WMV453,BAS,34,0,2,1008029,TS,0.000,0,0.0,0.0,43.9,0.0,KEYHOLE,35.481250,-79.180278,35.2,8000,1357,,WMV453,1008029,35.491250,-79.171667,ULS
WQIP507,BAS,18,0,2,3001190,TS,0.000,0,0.0,0.0,75.6,0.0,KEYHOLE,35.901667,-77.780278,-32.7,8000,6631,,WQIP507,3001190,35.951944,-77.820000,ULS
WPXT456,BAS,44,0,2,2520306,TS,0.000,0,0.0,0.0,86.9,0.0,KEYHOLE,35.903056,-77.782222,-64.2,8000,4817,,WPXT456,2520306,35.921944,-77.830278,ULS
WPOT901,BAS,51,0,2,1050758,TS,0.000,0,0.0,0.0,91.4,0.0,KEYHOLE,37.209306,-76.542722,156.8,8000,15056,,WPOT901,1050758,37.084583,-76.476056,ULS
WPNB850,BAS,16,0,2,1039387,TS,0.000,0,0.0,0.0,16.8,0.0,KEYHOLE,38.481222,-78.731111,-8.7,8000,42457,,WPNB850,1039387,38.859278,-78.805000,ULS
WLI903,BAS,34,0,2,992381,TS,0.000,0,0.0,0.0,24.0,0.0,KEYHOLE,39.194444,-78.171667,-138.8,8000,33951,,WLI903,992381,38.963889,-78.429444,ULS
WPOT900,BAS,23,0,2,1050757,TS,0.000,0,0.0,0.0,91.4,0.0,KEYHOLE,36.861250,-76.352972,-23.8,8000,27100,,WPOT900,1050757,37.084583,-76.476056,ULS
WME982,BAS,17,0,2,1000668,TS,0.000,0,0.0,0.0,0.0,0.0,KEYHOLE,40.852028,-74.876278,96.9,8000,6161,,WME982,1000668,40.845361,-74.803750,ULS
WMW553,BAS,20,0,2,1008903,TS,0.000,0,0.0,0.0,7.6,0.0,KEYHOLE,41.412028,-75.163778,-17.2,8000,3455,,WMW553,1008903,41.441750,-75.176000,ULS
WMU438,BAS,21,0,2,1007227,TT,0.000,0,0.0,0.0,0.0,0.0,KEYHOLE,39.644389,-110.348194,-77.1,8000,56529,,WMU438,1007227,39.756056,-110.991250,ULS
WMU437,BAS,45,0,2,1007226,TT,0.000,0,0.0,0.0,0.0,0.0,KEYHOLE,40.324111,-110.155972,-167.7,8000,77238,,WMU437,1007226,39.644389,-110.348194,ULS
WMU430,BAS,19,0,2,1007219,TT,0.000,0,0.0,0.0,0.0,0.0,KEYHOLE,40.557444,-111.247111,-30.1,8000,39349,,WMU430,1007219,40.863833,-111.481028,ULS
WMV565,BAS,19,0,2,1008140,TT,0.000,0,0.0,0.0,6.1,0.0,KEYHOLE,41.069667,-111.655750,147.2,8000,27181,,WMV565,1008140,40.863833,-111.481028,ULS
WMU429,BAS,15,0,2,1007218,TT,0.000,0,0.0,0.0,0.0,0.0,KEYHOLE,40.562444,-111.475722,91.6,8000,19370,,WMU429,1007218,40.557444,-111.247111,ULS
WQJG715,BAS,51,0,2,3040814,TS,0.000,0,0.0,0.0,15.0,0.0,KEYHOLE,40.659444,-112.202222,90.1,8000,25514,,WQJG715,3040814,40.658667,-111.900528,ULS
WQEQ847,BAS,26,0,2,2797202,TI,0.000,0,0.0,0.0,10.0,0.0,KEYHOLE,41.165833,-112.015278,33.0,8000,11753,,WQEQ847,2797202,41.254583,-111.938944,ULS
WPOQ469,BAS,24,0,2,1048146,TS,0.000,0,0.0,0.0,12.2,0.0,KEYHOLE,41.550972,-111.937111,17.2,8000,24889,,WPOQ469,1048146,41.765000,-111.848583,ULS
WMV566,BAS,15,0,2,1008141,TT,0.000,0,0.0,0.0,6.1,0.0,KEYHOLE,41.611306,-111.952167,157.5,8000,65070,,WMV566,1008141,41.069667,-111.655750,ULS
WPNB444,BAS,50,0,2,1039004,TT,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,42.124917,-111.775778,-135.3,8000,35811,,WPNB444,1039004,41.895194,-112.079111,ULS
WPNB445,BAS,42,0,2,1039005,TT,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,42.124917,-111.775778,-135.3,8000,35811,,WPNB445,1039005,41.895194,-112.079111,ULS
WPNB446,BAS,44,0,2,1039006,TT,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,42.124917,-111.775778,-135.3,8000,35811,,WPNB446,1039006,41.895194,-112.079111,ULS
WPNB447,BAS,40,0,2,1039007,TT,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,42.124917,-111.775778,-135.3,8000,35811,,WPNB447,1039007,41.895194,-112.079111,ULS
WPNB448,BAS,48,0,2,1039008,TT,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,42.124917,-111.775778,-135.3,8000,35811,,WPNB448,1039008,41.895194,-112.079111,ULS
WPNB449,BAS,46,0,2,1039009,TT,0.000,0,0.0,0.0,3.0,0.0,KEYHOLE,42.124917,-111.775778,-135.3,8000,35811,,WPNB449,1039009,41.895194,-112.079111,ULS
WQKN578,BAS,14,0,2,3120809,TT,0.000,0,0.0,0.0,5.0,0.0,KEYHOLE,42.082333,-112.208083,-60.6,8000,23364,,WQKN578,3120809,42.185194,-112.454583,ULS
WQKN579,BAS,41,0,2,3120810,TT,0.000,0,0.0,0.0,5.0,0.0,KEYHOLE,42.082333,-112.208083,-60.6,8000,23364,,WQKN579,3120810,42.185194,-112.454583,ULS
