uid,entity_type,channel,registrar,callsign,fccid,serial_num,rcamsl_meters,rcagl_meters,rchaat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_latitude,parent_longitude,registrant,event_start,event_end,event_duration_secs,event_rrule
130718SPBR0000001,LP_AUX,22;51;5;49;30;14;40;34;35;2;20;50;38;36;19;29;44;6;43;25;21;41;39;33;45;18;47;23,SPBR,WAOW,,,,,,MULTI_POINT,,,,,,44.392580 -89.821150; 44.986170 -89.646646; 44.958910 -89.644232; 44.931562 -89.664906; 44.685517 -90.164085; 44.974635 -89.651265; 44.959727 -89.629287; 44.677686 -90.177348; 44.957799 -89.624952; 44.966255 -89.668050; 44.904371 -89.548144; 44.980403 -89.598312; 44.974392 -89.626379; 44.529587 -89.572048; 44.890175 -89.580277; 45.181182 -89.683789; 44.966255 -89.626025; 44.905268 -89.553101; 44.908969 -89.651844; 44.776170 -89.679190; 44.670972 -90.155268; 44.987349 -89.594493; 45.920259 -89.250269; 44.937577 -89.618166,,,,"WAOW TV|Russ Crass|1908 Grand Avenue\nWausau, WI 54403\nUS|rcrass@waow.com|715-843-9227",2014/04/18-05:00:00.000,,84600,FREQ=DAILY;UNTIL=20150419T050000Z;INTERVAL=1;WKST=SU
140630SPBR0000002,LP_AUX,46;44;7;49;42;38;2;41;51;39;27;24;5;6;14;25;19;20;30;36;28;21;26;18,SPBR,BLP01156,,,,,,MULTI_QUAD,,,,,,44.980004 -93.277547; 44.981597 -93.275380; 44.983297 -93.276990; 44.981985 -93.280358,,,,"CP Communications|Loren Sherman|200 Clearbrook Road\nElmsford , NY 10523\nUS|loren.sherman@cpcomms.com|248-521-5428",2014/07/09-11:00:00.000,,72000,FREQ=DAILY;UNTIL=20140717T050000Z;INTERVAL=1;WKST=SU
130516SPBR0000009,LP_AUX,28;42;49;50;27;30;24;45;46;44;19;26;32;29;25;33;48,SPBR,WQPW345,,,,,,MULTI_POINT,,,,,,43.968033 -111.679611; 43.513833 -112.012889; 42.902253 -112.453033; 44.071581 -111.448288; 43.188556 -112.345556; 43.822056 -111.790139,,,,"Vista West Media L.L.C.|Gary Smith|1915 N. Yellowstone Hwy.\nIdaho Falls, ID 83401\nUS|gsmith@kidk.com|208-528-2152",2013/11/04-07:00:00.000,,84600,FREQ=DAILY;UNTIL=20140310T053000Z;INTERVAL=1;WKST=SU
130516SPBR0000009,LP_AUX,28;42;49;50;27;30;24;45;46;44;19;26;32;29;25;33;48,SPBR,WQPW345,,,,,,MULTI_POINT,,,,,,43.968033 -111.679611; 43.513833 -112.012889; 42.902253 -112.453033; 44.071581 -111.448288; 43.188556 -112.345556; 43.822056 -111.790139,,,,"Vista West Media L.L.C.|Gary Smith|1915 N. Yellowstone Hwy.\nIdaho Falls, ID 83401\nUS|gsmith@kidk.com|208-528-2152",2014/03/10-06:00:00.000,,84600,FREQ=DAILY;UNTIL=20140516T060000Z;INTERVAL=1;WKST=SU
140603SPBR0000006,LP_AUX,20;26;21;18;23;5;2;6;19,SPBR,BLN00751,,,,,,MULTI_POINT,,,,,,47.678581 -122.131577,,,,"dsgfd|gdfgdfg|sdfgfg\nRedmond, WA 45645\nUS||7896532416",2014/06/04-15:30:00.000,2014/06/05-16:00:00.000,,
140603SPBR0000007,LP_AUX,6;5,SPBR,KIRO-TV,,,,,,MULTI_POINT,,,,,,47.678581 -122.131577,,,,"sd|dfgsfdg|sdfgfg\nRedmond, WA 456464\nUS||7895621435",2014/06/04-17:30:00.000,2014/06/07-18:30:00.000,,
140310SPBR0000002,LP_AUX,19;45;18;32;49;36;29;41;34;28;20;43;23;21;40;30,SPBR,WQRB615,,,,,,MULTI_POINT,,,,,,47.623076 -122.346896,,,,"Amazing Audio Inc.|Jeffrey M Jones|3400 Tessmer Road\nAnn Arbor, MI 48103\nUS|jeff@amazingaudio.com|(734) 761-1920",2014/03/16-14:00:00.000,2014/03/21-03:00:00.000,,
130725SPBR0000001,LP_AUX,23;21,SPBR,BLP01371,,,,,,MULTI_POINT,,,,,,46.973222 -123.137889; 47.503889 -121.973222; 47.604306 -122.330694; 47.632111 -122.354000; 47.548972 -122.786333,,,,"KVI-AM|Lee Wood|140 4th Ave N\nSeattle, WA 98109\nUS|lwoo@fsci.com|206-404-4236",2013/11/04-10:00:00.000,,84600,FREQ=DAILY;UNTIL=20140310T083000Z;INTERVAL=1;WKST=SU
130725SPBR0000001,LP_AUX,23;21,SPBR,BLP01371,,,,,,MULTI_POINT,,,,,,46.973222 -123.137889; 47.503889 -121.973222; 47.604306 -122.330694; 47.632111 -122.354000; 47.548972 -122.786333,,,,"KVI-AM|Lee Wood|140 4th Ave N\nSeattle, WA 98109\nUS|lwoo@fsci.com|206-404-4236",2014/03/10-09:00:00.000,,84600,FREQ=DAILY;UNTIL=20140725T070000Z;INTERVAL=1;WKST=SU
131202KEYB7051220,LP_AUX,25,KEYB,KGW,,,,,,MULTI_POINT,,,,,,45.517803 -122.689217,,,,"KGW-TV|Mike Ranweiler|1501 SW Jefferson St.\nPortland, OR 97201\nUS|kgwmaintenance@kgw.com|(503) 226-5037",2014/01/01-08:00:00.000,2014/01/02-07:59:59.000,,FREQ=DAILY;UNTIL=20150102T000000Z;INTERVAL=1;WKST=SU
