uid,entity_type,channel,registrar,callsign,fccid,serial_num,rcamsl_meters,rcagl_meters,rchaat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_latitude,parent_longitude,registrant,event_start,event_end,event_duration_secs,event_rrule
120418SPBR0000001,MVPD,19,SPBR,,,,,,,KEYHOLE,47.112556,-88.547000,134.3,8000,48350,,WZMQ,46.502158,-87.647914,"Michigan Technological University|Shane Godmere|1400 Townsend Dr\nHoughton, MI 49931\nUS||",,,,
120418SPBR0000002,MVPD,35,SPBR,,,,,,,KEYHOLE,47.112556,-88.547000,148.0,8000,31220,,WLUC-TV,46.336330,-87.848746,"Michigan Technological University|Shane Godmere|1400 Townsend Dr\nHoughton, MI 49931\nUS||",,,,
120418SPBR0000003,MVPD,13,SPBR,,,,,,,KEYHOLE,47.112556,-88.547000,147.7,8000,3960,,WNMU,46.352774,-87.854163,"Michigan Technolgical University|Shane Godmere|1400 Townsend Dr\nHoughton, MI 49931\nUS||",,,,
140603SPBR0000003,MVPD,46,SPBR,,,,,,,KEYHOLE,48.578600,-122.031600,177.8,8000,56186,,KUSE-LD,47.504546,-121.969450,"fdhfgh|fghdhg|New Friends Height\nRedmond, WA 121454\nUS||",,,,
130604TELC0000004,MVPD,31,TELC,,,,,,,KEYHOLE,48.538950,-121.746360,-155.7,8000,28758,,KONG,47.631765,-122.350961,FCC|Alan Stillwell|||,,,,
131030SPBR0000001,MVPD,31,SPBR,,,,,,,KEYHOLE,48.538950,-121.746360,-155.7,8000,28758,,KONG,47.631765,-122.350961,"FCC Registration Test 11 MVPD Receive Site|Alan Stillwell|445 12th St., SW\nWashington, DC 20554\nUS||",,,,
140603SPBR0000004,MVPD,47,SPBR,,,,,,,KEYHOLE,47.678581,-122.131577,-140.1,8000,869,,K47LG-D,47.428432,-122.439016,"sdfhghg|dfhfh|New friends Colony\nRedmond, WA 544645\nUS||",,,,
130107SPBR0000001,MVPD,13,SPBR,,,,,,,KEYHOLE,47.306667,-119.599722,69.0,8000,67033,,KXLY-TV,47.921566,-117.114372,"Northland Cable|Jon Ulrick|254 North Fig Street\nMoses Lake, WA 98837\nUS||",,,,
130107SPBR0000003,MVPD,13,SPBR,,,,,,,KEYHOLE,47.952500,-118.959167,90.7,8000,5617,,KXLY-TV,47.921566,-117.114372,"Country Cable|Carl Sherwood|720 North Market Street #14\nSpokane, WA 99217\nUS||",,,,
130107SPBR0000002,MVPD,13,SPBR,,,,,,,KEYHOLE,46.459722,-117.030833,-2.2,8000,32629,,KXLY-TV,47.921566,-117.114372,"Cable One|Frankie Paffile|2320 Nez Perce Grade\nLewiston, ID 83501\nUS||",,,,
130509SPBR0000004,MVPD,22,SPBR,,,,,,,KEYHOLE,43.655000,-114.408889,-179.7,8000,37309,,KIPT,42.729407,-114.415705,"CoxCom, LLC|Derrick Hanson|6305-B Peachtree Dunwoody Rd.\nAtlanta, GA 30328\nUS||",,,,
130509SPBR0000005,MVPD,20,SPBR,,,,,,,KEYHOLE,43.655000,-114.408889,-179.5,8000,41819,,KTFT-LD,42.729907,-114.419205,"CoxCom, LLC|Derrick Hanson|6305-B Peachtree Dunwoody Rd.\nAtlanta, GA 30328\nUS||",,,,
120823SPBR0000001,MVPD,23,SPBR,,,,,,,KEYHOLE,37.445556,-122.160833,-20.0,8000,10527,,KRCB,38.348441,-122.578178,"KRCB ( This is a TV Broadcast Station)|Larry Stratton|5850 Labath ave \nRohnert Park , CA 94928\nUS||",,,,
