uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
WQAS562,PLCMRS,18,0,2,2641127,PW,250000.000,0,0.0,51.8,0.0,0.0,POINT,38.956611,-78.023528,,,,,,,,,ULS
WII242,PLCMRS,17,0,3,1261868,PW,69000.000,0,0.0,0.0,0.0,0.0,POINT,38.272639,-77.496917,,,,,,,,,ULS
WII498,PLCMRS,17,0,3,1289591,PW,91000.000,0,0.0,146.0,0.0,0.0,POINT,38.272639,-77.496917,,,,,,,,,ULS
Washington DC 17,PLCMRS,17,0,0,0,TX_TYPE_UNKNOWN,0.000,0,0.0,0.0,0.0,0.0,POINT,38.897611,-77.008861,,,,,,,,,CFR
Washington DC 18,PLCMRS,18,0,0,0,TX_TYPE_UNKNOWN,0.000,0,0.0,0.0,0.0,0.0,POINT,38.897611,-77.008861,,,,,,,,,CFR
WIK342,PLCMRS,19,0,2,1645056,IG,190000.000,0,0.0,91.0,0.0,0.0,POINT,39.359833,-74.444028,,,,,,,,,ULS
WPMW755,PLCMRS,19,0,1,1924332,YG,750000.000,0,0.0,76.5,0.0,0.0,POINT,39.352889,-74.443750,,,,,,,,,ULS
WPMW755,PLCMRS,20,0,1,1924332,YG,750000.000,0,0.0,76.5,0.0,0.0,POINT,39.352889,-74.443750,,,,,,,,,ULS
WIL552,PLCMRS,15,0,3,1289613,YW,100000.000,0,0.0,52.0,0.0,0.0,POINT,39.602056,-74.344861,,,,,,,,,ULS
WQMM690,PLCMRS,19,0,1,3230211,YG,1000000.000,0,0.0,110.0,0.0,0.0,POINT,39.698278,-74.234611,,,,,,,,,ULS
WPXC650,PLCMRS,15,0,1,2492323,YW,100000.000,0,0.0,87.5,0.0,0.0,POINT,39.760556,-74.260278,,,,,,,,,ULS
WIL552,PLCMRS,20,0,2,1289613,YW,200000.000,0,0.0,52.0,0.0,0.0,POINT,39.755667,-74.231250,,,,,,,,,ULS
WPMV796,PLCMRS,14,0,1,1924274,YG,50000.000,0,0.0,285.0,0.0,0.0,POINT,39.728167,-74.843778,,,,,,,,,ULS
KNR765,PLCMRS,14,0,2,1636257,IG,216000.000,0,0.0,0.0,0.0,0.0,POINT,40.192333,-74.752944,,,,,,,,,ULS
WIL552,PLCMRS,15,0,4,1289613,YW,100000.000,0,0.0,52.0,0.0,0.0,POINT,40.082889,-74.482917,,,,,,,,,ULS
WPXC650,PLCMRS,15,0,2,2492323,YW,100000.000,0,0.0,75.0,0.0,0.0,POINT,39.901667,-74.406667,,,,,,,,,ULS
WIL552,PLCMRS,20,0,5,1289613,YW,150000.000,0,0.0,79.2,0.0,0.0,POINT,40.102194,-74.160750,,,,,,,,,ULS
WPLV593,PLCMRS,20,0,1,1193892,PW,100000.000,0,0.0,13.0,0.0,0.0,POINT,40.036778,-74.052361,,,,,,,,,ULS
WPSS243,PLCMRS,14,0,1,2334862,PW,100000.000,0,0.0,57.0,0.0,0.0,POINT,40.015389,-74.184028,,,,,,,,,ULS
WIL552,PLCMRS,15,0,1,1289613,YW,100000.000,0,0.0,68.6,0.0,0.0,POINT,39.973611,-74.195000,,,,,,,,,ULS
WIL552,PLCMRS,20,0,1,1289613,YW,90000.000,0,0.0,68.6,0.0,0.0,POINT,39.973611,-74.195000,,,,,,,,,ULS
WPLV593,PLCMRS,20,0,2,1193892,PW,60000.000,0,0.0,0.0,0.0,0.0,POINT,39.973722,-74.194861,,,,,,,,,ULS
WPSS243,PLCMRS,14,0,2,2334862,PW,100000.000,0,0.0,52.0,0.0,0.0,POINT,39.987333,-74.184861,,,,,,,,,ULS
WIL552,PLCMRS,20,0,6,1289613,YW,20000.000,0,0.0,16.0,0.0,0.0,POINT,39.952889,-74.194028,,,,,,,,,ULS
WPKI730,PLCMRS,19,0,1,1268173,PW,40000.000,0,0.0,26.0,0.0,0.0,POINT,39.922889,-74.199861,,,,,,,,,ULS
WPMW554,PLCMRS,19,0,1,1802176,IG,175000.000,0,0.0,103.0,0.0,0.0,POINT,40.225667,-74.054861,,,,,,,,,ULS
WPMW554,PLCMRS,20,0,1,1802176,IG,175000.000,0,0.0,103.0,0.0,0.0,POINT,40.225667,-74.054861,,,,,,,,,ULS
WIJ783,PLCMRS,19,0,2,1923784,YK,1000000.000,0,0.0,82.0,0.0,0.0,POINT,40.395944,-74.174583,,,,,,,,,ULS
WIJ783,PLCMRS,20,0,2,1923784,YK,1000000.000,0,0.0,82.0,0.0,0.0,POINT,40.395944,-74.174583,,,,,,,,,ULS
WPMW554,PLCMRS,19,0,3,1802176,IG,85000.000,0,0.0,18.3,0.0,0.0,POINT,40.396417,-73.978111,,,,,,,,,ULS
WIM531,PLCMRS,19,0,2,1222308,PW,30000.000,0,0.0,67.0,0.0,0.0,POINT,40.662056,-74.215694,,,,,,,,,ULS
WPLV668,PLCMRS,19,0,1,1236920,PW,38000.000,0,0.0,30.0,0.0,0.0,POINT,40.709278,-74.070417,,,,,,,,,ULS
WPLV668,PLCMRS,19,0,2,1236920,PW,38000.000,0,0.0,23.0,0.0,0.0,POINT,40.709000,-74.087361,,,,,,,,,ULS
WIL676,PLCMRS,19,0,4,1289619,PW,45000.000,0,0.0,30.5,0.0,0.0,POINT,40.726278,-74.110250,,,,,,,,,ULS
WPMN474,PLCMRS,19,0,7,1294688,PW,15000.000,0,0.0,11.6,0.0,0.0,POINT,40.725778,-74.110306,,,,,,,,,ULS
WPMN474,PLCMRS,19,0,5,1294688,PW,15000.000,0,0.0,15.0,0.0,0.0,POINT,40.772056,-74.137639,,,,,,,,,ULS
WPMN474,PLCMRS,19,0,3,1294688,PW,15000.000,0,0.0,8.0,0.0,0.0,POINT,40.770389,-74.143750,,,,,,,,,ULS
