uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
CH4364,TV_CA,25,3517,0,0,TX,96.000,0,0.0,665.0,20.0,0.0,POINT,49.037778,-118.444722,,,,,,,,,Canada
CISR-TV-1,TV_CA,7,1644,0,0,TX,56.000,0,0.0,0.0,0.0,0.0,POINT,49.009722,-118.391389,,,,,,,,,Canada
CKTN-TV-1,TV_CA,5,1671,0,0,TX,30.000,0,0.0,670.6,18.3,0.0,POINT,49.313889,-117.626111,,,,,,,,,Canada
CKTN-TV,TV_CA,8,1645,0,0,TX,18000.000,3682,0.0,1605.9,55.0,480.4,POINT,49.091667,-117.820556,,,,,,,,,Canada
CKTN-TV-4,TV_CA,12,4980,0,0,TX,50.000,0,0.0,2150.4,22.3,0.0,POINT,49.090278,-116.380278,,,,,,,,,Canada
CFCN-TV-12,TV_CA,8,2306,0,0,TX,71.000,0,0.0,1379.0,9.0,0.0,POINT,49.412500,-115.838611,,,,,,,,,Canada
CH4417,TV_CA,3,4874,0,0,TX,80.000,0,0.0,930.0,22.0,0.0,POINT,49.287500,-115.831667,,,,,,,,,Canada
CFCN-TV-9,TV_CA,5,4934,0,0,TX,446.000,2436,0.0,2213.0,22.9,1040.0,POINT,49.458333,-115.630278,,,,,,,,,Canada
CFCN-TV-11,TV_CA,6,2307,0,0,TX,50.000,0,0.0,1767.8,9.1,0.0,POINT,49.705000,-114.863889,,,,,,,,,Canada
CFCN-TV-10,TV_CA,3,2305,0,0,TX,23.000,0,0.0,1005.8,18.3,0.0,POINT,49.506944,-115.067500,,,,,,,,,Canada
XHEXT-TV,TV_MX,20,179908,0,1283288,TV,50000.000,0,0.0,39.0,0.0,1.0,POINT,32.445833,-114.775000,,,,,,,,,CDBS
XHEXT-TDT,TV_MX,25,190109,0,1480356,LD,830.000,0,0.0,71.0,0.0,0.0,POINT,32.445833,-114.775000,,,,,,,,,CDBS
XHBC,TV_MX,3,98433,0,304323,TV,83800.000,0,0.0,0.0,0.0,160.0,POINT,32.581389,-115.518611,,,,,,,,,CDBS
XHAQ,TV_MX,5,98588,0,304706,TV,54300.000,0,0.0,0.0,0.0,93.0,POINT,32.568333,-115.531389,,,,,,,,,CDBS
XHBM-DT,TV_MX,34,166094,0,1113478,DT,180000.000,98705,0.0,165.0,0.0,0.0,POINT,32.611389,-115.494167,,,,,,,,,CDBS
XHAQ-DT,TV_MX,28,165464,0,1086911,DT,550000.000,0,0.0,88.0,0.0,85.0,POINT,32.612778,-115.488056,,,,,,,,,CDBS
XHEXT-DT,TV_MX,25,165463,0,1086906,DT,550000.000,0,0.0,88.0,0.0,85.0,POINT,32.612778,-115.488056,,,,,,,,,CDBS
XHENE-TDT,TV_MX,16,190050,0,1459609,DT,70000.000,107339,0.0,153.0,0.0,0.0,POINT,31.873611,-116.630833,,,,,,,,,CDBS
XHENT-TDT,TV_MX,20,190025,0,1452531,DT,50000.000,107063,0.0,153.0,0.0,0.0,POINT,31.873611,-116.630833,,,,,,,,,CDBS
XHENT-TV,TV_MX,2,188870,0,1407162,TV,67300.000,0,0.0,108.0,0.0,0.0,POINT,31.873611,-116.630833,,,,,,,,,CDBS
XHDTV-TV,TV_MX,49,178674,0,1266807,TV,3881000.000,0,0.0,1220.0,0.0,687.0,POINT,32.313611,-116.664722,,,,,,,,,CDBS
