LOGRECNO,GEOID,AREALAND,AREAWATER,POP100,HU100
0047535,42001030101,54751241,903788,2580,1028
0047537,42001030102,68153470,1108453,5780,2244
0047541,42001030200,121160530,360080,5500,2167
0047544,42001030300,111758049,321006,4156,1724
0047547,42001030400,178435582,1027076,5829,2436
0047553,42001030500,63752341,253777,3767,1564
0047556,42001030600,88828477,412329,4928,1871
0047560,42001030700,81268436,437462,6493,2561
0047564,42001030800,58214226,511168,7451,3052
0047569,42001030900,26163685,643896,7300,2890
0047574,42001031000,8010121,46246,1781,669
0047576,42001031101,3007704,4281,5163,2261
0047580,42001031102,17292037,116957,3179,1175
0047582,42001031201,67345447,584577,3670,1543
0047585,42001031202,28231613,36467,2700,1015
0047587,42001031203,45438466,82892,3148,1207
0047589,42001031300,3892025,0,4434,1951
0047592,42001031401,29645478,43752,3975,1734
0047595,42001031402,56933417,413257,2187,1032
0047598,42001031501,1481580,12297,3315,589
0047601,42001031502,2821222,0,4305,2031
0047606,42001031600,123570101,466331,6887,2785
0047611,42001031700,103187457,295484,2879,1291
0052821,42003010300,861282,237261,6600,388
0052826,42003020100,1679322,479693,3629,2342
0052833,42003020300,1593129,329216,616,473
0052835,42003030500,667607,0,2256,1270
0052838,42003040200,613251,0,2604,687
0052841,42003040400,199462,0,2488,1480
0052844,42003040500,471939,0,3694,1379
0052847,42003040600,253063,0,2392,1152
0052849,42003040900,920943,0,2969,1469
0052853,42003050100,790374,0,1707,1120
0052857,42003050600,806320,6854,2057,1240
0052861,42003050900,462660,4114,1202,746
0052863,42003051000,643937,0,2106,778
0052866,42003051100,183645,0,1122,731
0052868,42003060300,1119311,144825,2341,1386
0052871,42003060500,657516,0,1274,849
0052874,42003070300,428548,0,2197,1294
0052878,42003070500,412753,0,2997,1979
0052882,42003070600,289740,0,2082,1356
0052885,42003070800,451965,0,1705,1088
0052888,42003070900,803227,0,4934,2893
0052893,42003080200,345562,0,1679,1004
0052896,42003080400,430389,0,1369,825
0052899,42003080600,404921,0,1998,1226
0052902,42003080700,275058,0,1785,1163
0052905,42003080900,380225,0,1767,1102
0052908,42003090100,672298,145334,1843,1124
