uid,entity_type,channel,facility_id,site_number,application_id,tx_type,erp_watts,antenna_id,antenna_rotation_degrees,rcamsl_meters,rcagl_meters,haat_meters,location_type,latitude,longitude,azimuth,circle_radius_meters,keyhole_radius_meters,geometry,parent_callsign,parent_facility_id,parent_latitude,parent_longitude,data_source
W04CI,TV_TRANSLATOR,33,51894,0,154063,TX,62.000,20783,77.0,440.0,10.0,0.0,KEYHOLE,37.286256,-79.091410,56.1,8000,1501,,W33AD,51898,37.341811,-78.987797,CDBS
W22CV-D,TV_TRANSLATOR,33,127707,0,1503257,LD,95.000,20735,350.0,1001.0,6.0,0.0,KEYHOLE,38.982610,-78.908359,-42.6,8000,23699,,WNPB-TV,71676,39.695829,-79.762219,CDBS
W46BR-D,TV_TRANSLATOR,36,69763,0,1503255,LD,100.000,20735,350.0,1001.0,6.0,0.0,KEYHOLE,38.982610,-78.908359,90.5,8000,69196,,WTTG,22207,38.956222,-77.082756,CDBS
W50BD-D,TV_TRANSLATOR,9,69755,0,1503422,LD,100.000,20735,350.0,1001.0,6.0,0.0,KEYHOLE,38.982610,-78.908359,90.7,8000,56752,,WUSA,65593,38.950389,-77.079422,CDBS
W09CT-D,TV_TRANSLATOR,33,167353,0,1289679,LD,240.000,90302,0.0,789.5,33.5,0.0,KEYHOLE,38.820946,-78.898637,-37.2,8000,38312,,WNPB-TV,71676,39.695829,-79.762219,CDBS
W23DR-D,TV_TRANSLATOR,33,167358,0,1304717,LD,15000.000,89391,0.0,643.9,61.0,0.0,KEYHOLE,39.309684,-78.716766,-64.2,8000,16289,,WNPB-TV,71676,39.695829,-79.762219,CDBS
W07DN-D,TV_TRANSLATOR,33,167352,0,1272658,LD,300.000,76197,235.0,879.0,21.0,0.0,KEYHOLE,39.143994,-78.435563,-61.4,8000,45743,,WNPB-TV,71676,39.695829,-79.762219,CDBS
W14DY-D,TV_TRANSLATOR,31,14087,0,1504273,LD,8100.000,104519,35.0,152.4,138.4,0.0,KEYHOLE,37.842348,-75.571038,-143.4,8000,45771,,WAVY-TV,71127,36.820705,-76.511060,CDBS
W18EG-D,TV_TRANSLATOR,40,14077,0,1504277,LD,8000.000,104518,35.0,152.4,138.4,0.0,KEYHOLE,37.842348,-75.571038,-144.0,8000,37736,,WTKR,47401,36.808760,-76.503282,CDBS
W25AA-D,TV_TRANSLATOR,16,14078,0,1528694,LD,7900.000,103029,35.0,152.4,138.4,0.0,KEYHOLE,37.842348,-75.571038,-144.0,8000,38800,,WHRO-TV,25932,36.808760,-76.503004,CDBS
WMUN-CD,TV_TRANSLATOR,47,73207,0,1374591,DC,15000.000,94001,0.0,275.5,266.1,0.0,KEYHOLE,40.752324,-73.967361,79.4,8000,7723,,WLNY-TV,73206,40.897321,-72.915103,CDBS
W17CD,TV_TRANSLATOR,6,67859,0,1171398,TX,75000.000,76034,55.0,100.3,63.7,0.0,KEYHOLE,41.065097,-73.534012,-135.5,8000,10830,,WNYZ-LP,56043,40.747324,-73.943471,CDBS
WNMF-LD,TV_TRANSLATOR,47,74513,0,1539141,LD,1000.000,108091,37.0,247.1,33.7,0.0,KEYHOLE,40.785656,-74.510989,84.2,8000,53378,,WLNY-TV,73206,40.897321,-72.915103,CDBS
