channel,service,country,state,city,lat,lon,fac_callsign,arn,app_id,haat,da,erp,facility_id,rcamsl,ref az,ant_id
5,DT,US,AK,ANCHORAGE,612011,1493047,KYES-TV,BLCDT20110307ACV,1565982,277,DA,15,21488,614.5,0,93311
8,DT,US,AK,ANCHORAGE,612522,1495220,KAKM,BMLEDT20080325ADD,1239705,240,DA,50,804,271.2,0,67943
10,DT,US,AK,ANCHORAGE,612522,1495220,KTUU-TV,BLCDT20090619ABI,1317268,240,DA,50,10173,271.2,0,89986
12,DT,US,AK,ANCHORAGE,612522,1495220,KYUR,BLCDT20090928AKO,1425498,240,DA,41,13815,271.2,0,68006
20,DT,US,AK,ANCHORAGE,611311,1495324,KTBY,BLCDT20090608ABN,1314627,45,DA,234,35655,98,0,90682
28,DT,US,AK,ANCHORAGE,611133,1495401,KTVA,BLCDT20061113AAT,1158523,60.6,DA,28.9,49632,130.6,0,73156
33,DT,US,AK,ANCHORAGE,612011,1493048,KDMD,BLCDT20110106AAR,1413569,300.2,DA,17.2,25221,627.9,0,102633
35,DC,US,AK,ANCHORAGE,610402,1494436,KCFT-CD,BLDTA20121116ALD,1524466,0,DA,15,787,539.7,315,109112
7,DT,US,AK,FAIRBANKS,645520,1474255,KFXF,BLCDT20090129AMM,1316742,268,DA,6.1,64597,512,0,91018
9,DT,US,AK,FAIRBANKS,645442,1474638,KUAC-TV,BLEDT20090929AJZ,1334562,168.9,ND,30,69315,432,,
13,DC,US,AK,FAIRBANKS,645520,1474255,K13XD-D,BLDVA20111128DAA,1471191,0,DA,3,64596,521.6,170,105830
18,DT,US,AK,FAIRBANKS,645520,1474249,KATN,BLCDT20070403AAO,1179131,230,ND,16,13813,473,,
26,DT,US,AK,FAIRBANKS,645245,1480314,KTVF,BLCDT20090720ACS,1324074,471,DA,27,49621,736,110,92468
10,DT,US,AK,JUNEAU,581756,1342407,KTOO-TV,BLEDT20040730ABD,1003749,-363,ND,1,8651,37,,
11,DT,US,AK,JUNEAU,581805,1342626,KJUD,BLCDT20070529AGB,1186426,-290,DA,0.14,13814,82,0,78617
13,DT,US,AK,KETCHIKAN,552059,1314012,KUBD,BLCDT20120413ABL,1495992,-71,DA,0.413,60520,100,0,104820
20,DT,US,AK,NORTH POLE,645245,1480314,KJNP-TV,BLCDT20100126AEF,1354743,491.6,DA,30.9,20015,755.9,110,96421
7,DT,US,AK,SITKA,570301,1352004,KTNL-TV,BLCDT20120413ABK,1495991,-216,DA,0.35,60519,46.2,340,88100
15,CA,US,AL,ALABASTER,331403,864708,W15AZ,BLTTL19940809IB,201575,0,DA,6.08,17320,311,210,17775
9,DT,US,AL,ANNISTON,333624,862503,WJSU-TV,BLCDT20050222ACG,1047396,359,DA,15.6,56642,579,0,66854
25,LD,US,AL,ASHVILLE,334740,861312,WOIL-LD,BDCCDTL20130926AZI,1576828,0,ND,15,192867,358,,
11,DC,US,AL,ATHENS,344906,864416,WTZT-CD,BLDVA20120221ABI,1488333,0,ND,1.11,3086,527.3,,
18,DT,US,AL,BESSEMER,332851,872403,WDBB,BLCDT20060421ABG,1121299,675,DA,350,71325,805,0,44013
10,DT,US,AL,BIRMINGHAM,332904,864825,WBIQ,BLEDT20090227AAV,1291472,426.2,ND,3,717,615.3,,
13,DT,US,AL,BIRMINGHAM,332926,864748,WVTM-TV,BLCDT20090612AIN,1316129,403,DA,20,74173,598,350,85966
24,DC,US,AL,BIRMINGHAM,332903,864831,WBXA-CD,BDCCDTL20110901AAE,1442439,0,DA,10,189851,394.1,320,106514
30,DT,US,AL,BIRMINGHAM,332904,864825,WIAT,BLCDT20021219AAV,620788,426,DA,1000,5360,615.1,0,43265
36,DT,US,AL,BIRMINGHAM,332904,864825,WABM,BLCDT20060406AAJ,1118943,406,DA,885,16820,595.2,0,68103
47,DC,US,AL,BIRMINGHAM,332902,864835,W49AY,BDISDTA20120207AAF,1485435,0,DA,15,24257,400.8,305,108294
50,DT,US,AL,BIRMINGHAM,332919,864758,WBRC,BLCDT20091005ACI,1336834,422,ND,912,71221,614.9,,
19,DT,US,AL,DEMOPOLIS,322145,875231,WIIQ,BLEDT20090511AHE,1311482,325.3,DA,1000,720,367.3,0,92660
25,DC,US,AL,DEMOPOLIS,330315,873257,WJMY-CA,BDFCDTA20090824ABD,1329432,0,ND,15,30283,339,,
